residence_hall,time,raw,norm,score
3rd and Union,12:00:00 AM,22,-0.376824876,
3rd and Union,12:30:00 AM,23,-0.248485969,
3rd and Union,1:00:00 AM,22,-0.376824876,
3rd and Union,1:30:00 AM,18,-0.890180504,
3rd and Union,2:00:00 AM,17,-1.018519411,
3rd and Union,2:30:00 AM,16,-1.146858318,
3rd and Union,3:00:00 AM,16,-1.146858318,
3rd and Union,3:30:00 AM,16,-1.146858318,
3rd and Union,4:00:00 AM,NaN,NaN,
3rd and Union,4:30:00 AM,14,-1.403536132,
3rd and Union,5:00:00 AM,14,-1.403536132,
3rd and Union,5:30:00 AM,14,-1.403536132,
3rd and Union,6:00:00 AM,14,-1.403536132,
3rd and Union,6:30:00 AM,14,-1.403536132,
3rd and Union,7:00:00 AM,14,-1.403536132,
3rd and Union,7:30:00 AM,17,-1.018519411,
3rd and Union,8:00:00 AM,20,-0.63350269,
3rd and Union,8:30:00 AM,25,0.008191845,
3rd and Union,9:00:00 AM,15,-1.275197225,
3rd and Union,9:30:00 AM,25,0.008191845,
3rd and Union,10:00:00 AM,25,0.008191845,
3rd and Union,10:30:00 AM,26,0.136530752,
3rd and Union,11:00:00 AM,23,-0.248485969,
3rd and Union,11:30:00 AM,20,-0.63350269,
3rd and Union,12:00:00 PM,23,-0.248485969,
3rd and Union,12:30:00 PM,25,0.008191845,
3rd and Union,1:00:00 PM,30,0.64988638,
3rd and Union,1:30:00 PM,26,0.136530752,
3rd and Union,2:00:00 PM,33,1.034903101,
3rd and Union,2:30:00 PM,38,1.676597636,
3rd and Union,3:00:00 PM,26,0.136530752,
3rd and Union,3:30:00 PM,30,0.64988638,
3rd and Union,4:00:00 PM,24,-0.120147062,
3rd and Union,4:30:00 PM,26,0.136530752,
3rd and Union,5:00:00 PM,25,0.008191845,
3rd and Union,5:30:00 PM,27,0.264869659,
3rd and Union,6:00:00 PM,38,1.676597636,
3rd and Union,6:30:00 PM,36,1.419919822,
3rd and Union,7:00:00 PM,35,1.291580915,
3rd and Union,7:30:00 PM,34,1.163242008,
3rd and Union,8:00:00 PM,42,2.189953264,
3rd and Union,8:30:00 PM,37,1.548258729,
3rd and Union,9:00:00 PM,30,0.64988638,
3rd and Union,9:30:00 PM,31,0.778225287,
3rd and Union,10:00:00 PM,36,1.419919822,
3rd and Union,10:30:00 PM,31,0.778225287,
3rd and Union,11:00:00 PM,32,0.906564194,
3rd and Union,11:30:00 PM,27,0.264869659,
Ashton,12:00:00 AM,140,0.158095095,
Ashton,12:30:00 AM,122,-0.164968795,
Ashton,1:00:00 AM,109,-0.398292715,
Ashton,1:30:00 AM,90,-0.739304598,
Ashton,2:00:00 AM,88,-0.775200586,
Ashton,2:30:00 AM,81,-0.900836543,
Ashton,3:00:00 AM,73,-1.044420493,
Ashton,3:30:00 AM,65,-1.188004444,
Ashton,4:00:00 AM,NaN,NaN,
Ashton,4:30:00 AM,58,-1.313640401,
Ashton,5:00:00 AM,60,-1.277744414,
Ashton,5:30:00 AM,57,-1.331588395,
Ashton,6:00:00 AM,49,-1.475172346,
Ashton,6:30:00 AM,46,-1.529016328,
Ashton,7:00:00 AM,53,-1.403380371,
Ashton,7:30:00 AM,54,-1.385432377,
Ashton,8:00:00 AM,49,-1.475172346,
Ashton,8:30:00 AM,52,-1.421328364,
Ashton,9:00:00 AM,58,-1.313640401,
Ashton,9:30:00 AM,65,-1.188004444,
Ashton,10:00:00 AM,92,-0.70340861,
Ashton,10:30:00 AM,122,-0.164968795,
Ashton,11:00:00 AM,139,0.140147101,
Ashton,11:30:00 AM,155,0.427315003,
Ashton,12:00:00 PM,173,0.750378892,
Ashton,12:30:00 PM,186,0.983702812,
Ashton,1:00:00 PM,193,1.109338769,
Ashton,1:30:00 PM,188,1.0195988,
Ashton,2:00:00 PM,179,0.858066855,
Ashton,2:30:00 PM,191,1.073442781,
Ashton,3:00:00 PM,203,1.288818708,
Ashton,3:30:00 PM,189,1.037546794,
Ashton,4:00:00 PM,194,1.127286763,
Ashton,4:30:00 PM,200,1.234974726,
Ashton,5:00:00 PM,209,1.396506671,
Ashton,5:30:00 PM,203,1.288818708,
Ashton,6:00:00 PM,170,0.69653491,
Ashton,6:30:00 PM,162,0.55295096,
Ashton,7:00:00 PM,152,0.373471021,
Ashton,7:30:00 PM,155,0.427315003,
Ashton,8:00:00 PM,168,0.660638923,
Ashton,8:30:00 PM,178,0.840118861,
Ashton,9:00:00 PM,179,0.858066855,
Ashton,9:30:00 PM,184,0.947806824,
Ashton,10:00:00 PM,168,0.660638923,
Ashton,10:30:00 PM,156,0.445262996,
Ashton,11:00:00 PM,161,0.535002966,
Ashton,11:30:00 PM,148,0.301679046,
BBHN,12:00:00 AM,39,0.096461209,
BBHN,12:30:00 AM,35,-0.407280658,
BBHN,1:00:00 AM,31,-0.911022525,
BBHN,1:30:00 AM,28,-1.288828926,
BBHN,2:00:00 AM,31,-0.911022525,
BBHN,2:30:00 AM,31,-0.911022525,
BBHN,3:00:00 AM,31,-0.911022525,
BBHN,3:30:00 AM,31,-0.911022525,
BBHN,4:00:00 AM,NaN,NaN,
BBHN,4:30:00 AM,29,-1.162893459,
BBHN,5:00:00 AM,28,-1.288828926,
BBHN,5:30:00 AM,28,-1.288828926,
BBHN,6:00:00 AM,27,-1.414764392,
BBHN,6:30:00 AM,27,-1.414764392,
BBHN,7:00:00 AM,28,-1.288828926,
BBHN,7:30:00 AM,28,-1.288828926,
BBHN,8:00:00 AM,27,-1.414764392,
BBHN,8:30:00 AM,29,-1.162893459,
BBHN,9:00:00 AM,30,-1.036957992,
BBHN,9:30:00 AM,33,-0.659151592,
BBHN,10:00:00 AM,37,-0.155409725,
BBHN,10:30:00 AM,42,0.474267609,
BBHN,11:00:00 AM,50,1.481751343,
BBHN,11:30:00 AM,46,0.978009476,
BBHN,12:00:00 PM,47,1.103944943,
BBHN,12:30:00 PM,42,0.474267609,
BBHN,1:00:00 PM,42,0.474267609,
BBHN,1:30:00 PM,48,1.229880409,
BBHN,2:00:00 PM,43,0.600203076,
BBHN,2:30:00 PM,45,0.852074009,
BBHN,3:00:00 PM,54,1.98549321,
BBHN,3:30:00 PM,56,2.237364143,
BBHN,4:00:00 PM,48,1.229880409,
BBHN,4:30:00 PM,46,0.978009476,
BBHN,5:00:00 PM,45,0.852074009,
BBHN,5:30:00 PM,47,1.103944943,
BBHN,6:00:00 PM,42,0.474267609,
BBHN,6:30:00 PM,45,0.852074009,
BBHN,7:00:00 PM,40,0.222396675,
BBHN,7:30:00 PM,39,0.096461209,
BBHN,8:00:00 PM,44,0.726138542,
BBHN,8:30:00 PM,41,0.348332142,
BBHN,9:00:00 PM,39,0.096461209,
BBHN,9:30:00 PM,41,0.348332142,
BBHN,10:00:00 PM,41,0.348332142,
BBHN,10:30:00 PM,41,0.348332142,
BBHN,11:00:00 PM,36,-0.281345192,
BBHN,11:30:00 PM,39,0.096461209,
Briscoe,12:00:00 AM,191,-0.153340449,
Briscoe,12:30:00 AM,160,-0.462782326,
Briscoe,1:00:00 AM,126,-0.80217019,
Briscoe,1:30:00 AM,117,-0.892008154,
Briscoe,2:00:00 AM,99,-1.071684082,
Briscoe,2:30:00 AM,96,-1.10163007,
Briscoe,3:00:00 AM,82,-1.241378014,
Briscoe,3:30:00 AM,69,-1.371143963,
Briscoe,4:00:00 AM,NaN,NaN,
Briscoe,4:30:00 AM,73,-1.331215978,
Briscoe,5:00:00 AM,69,-1.371143963,
Briscoe,5:30:00 AM,73,-1.331215978,
Briscoe,6:00:00 AM,73,-1.331215978,
Briscoe,6:30:00 AM,73,-1.331215978,
Briscoe,7:00:00 AM,77,-1.291287994,
Briscoe,7:30:00 AM,87,-1.191468034,
Briscoe,8:00:00 AM,101,-1.05172009,
Briscoe,8:30:00 AM,109,-0.971864122,
Briscoe,9:00:00 AM,109,-0.971864122,
Briscoe,9:30:00 AM,119,-0.872044162,
Briscoe,10:00:00 AM,117,-0.892008154,
Briscoe,10:30:00 AM,157,-0.492728314,
Briscoe,11:00:00 AM,186,-0.203250429,
Briscoe,11:30:00 AM,220,0.136137435,
Briscoe,12:00:00 PM,254,0.475525299,
Briscoe,12:30:00 PM,270,0.635237235,
Briscoe,1:00:00 PM,276,0.695129211,
Briscoe,1:30:00 PM,281,0.745039192,
Briscoe,2:00:00 PM,276,0.695129211,
Briscoe,2:30:00 PM,287,0.804931168,
Briscoe,3:00:00 PM,319,1.12435504,
Briscoe,3:30:00 PM,313,1.064463064,
Briscoe,4:00:00 PM,327,1.204211008,
Briscoe,4:30:00 PM,356,1.493688892,
Briscoe,5:00:00 PM,345,1.383886936,
Briscoe,5:30:00 PM,328,1.214193004,
Briscoe,6:00:00 PM,303,0.964643104,
Briscoe,6:30:00 PM,318,1.114373044,
Briscoe,7:00:00 PM,282,0.755021188,
Briscoe,7:30:00 PM,272,0.655201227,
Briscoe,8:00:00 PM,290,0.834877156,
Briscoe,8:30:00 PM,295,0.884787136,
Briscoe,9:00:00 PM,315,1.084427056,
Briscoe,9:30:00 PM,317,1.104391048,
Briscoe,10:00:00 PM,292,0.854841148,
Briscoe,10:30:00 PM,316,1.094409052,
Briscoe,11:00:00 PM,268,0.615273243,
Briscoe,11:30:00 PM,216,0.096209451,
Campus View,12:00:00 AM,136,0.761764118,
Campus View,12:30:00 AM,119,0.322939655,
Campus View,1:00:00 AM,110,0.090620822,
Campus View,1:30:00 AM,88,-0.47726966,
Campus View,2:00:00 AM,74,-0.838654512,
Campus View,2:30:00 AM,63,-1.122599753,
Campus View,3:00:00 AM,63,-1.122599753,
Campus View,3:30:00 AM,63,-1.122599753,
Campus View,4:00:00 AM,NaN,NaN,
Campus View,4:30:00 AM,51,-1.432358198,
Campus View,5:00:00 AM,49,-1.483984605,
Campus View,5:30:00 AM,49,-1.483984605,
Campus View,6:00:00 AM,48,-1.509797809,
Campus View,6:30:00 AM,49,-1.483984605,
Campus View,7:00:00 AM,54,-1.354918587,
Campus View,7:30:00 AM,64,-1.09678655,
Campus View,8:00:00 AM,79,-0.709588494,
Campus View,8:30:00 AM,68,-0.993533735,
Campus View,9:00:00 AM,62,-1.148412957,
Campus View,9:30:00 AM,69,-0.967720531,
Campus View,10:00:00 AM,73,-0.864467716,
Campus View,10:30:00 AM,78,-0.735401697,
Campus View,11:00:00 AM,88,-0.47726966,
Campus View,11:30:00 AM,117,0.271313248,
Campus View,12:00:00 PM,120,0.348752859,
Campus View,12:30:00 PM,118,0.297126451,
Campus View,1:00:00 PM,101,-0.141698012,
Campus View,1:30:00 PM,110,0.090620822,
Campus View,2:00:00 PM,111,0.116434025,
Campus View,2:30:00 PM,108,0.038994414,
Campus View,3:00:00 PM,129,0.581071692,
Campus View,3:30:00 PM,124,0.452005674,
Campus View,4:00:00 PM,126,0.503632081,
Campus View,4:30:00 PM,140,0.865016933,
Campus View,5:00:00 PM,134,0.710137711,
Campus View,5:30:00 PM,121,0.374566062,
Campus View,6:00:00 PM,145,0.994082952,
Campus View,6:30:00 PM,145,0.994082952,
Campus View,7:00:00 PM,142,0.916643341,
Campus View,7:30:00 PM,141,0.890830137,
Campus View,8:00:00 PM,152,1.174775378,
