center,bldg,floor,time,raw,norm
Briscoe,Gucker,Floor 01,00:00:00,2,-0.928349199
Briscoe,Gucker,Floor 01,00:30:00,4,-0.120341563
Briscoe,Gucker,Floor 01,01:00:00,5,0.283662255
Briscoe,Gucker,Floor 01,01:30:00,3,-0.524345381
Briscoe,Gucker,Floor 01,02:00:00,2,-0.928349199
Briscoe,Gucker,Floor 01,02:30:00,2,-0.928349199
Briscoe,Gucker,Floor 01,03:00:00,1,-1.332353017
Briscoe,Gucker,Floor 01,03:30:00,1,-1.332353017
Briscoe,Gucker,Floor 01,04:00:00,NaN,NaN
Briscoe,Gucker,Floor 01,04:30:00,1,-1.332353017
Briscoe,Gucker,Floor 01,05:00:00,2,-0.928349199
Briscoe,Gucker,Floor 01,05:30:00,1,-1.332353017
Briscoe,Gucker,Floor 01,06:00:00,2,-0.928349199
Briscoe,Gucker,Floor 01,06:30:00,3,-0.524345381
Briscoe,Gucker,Floor 01,07:00:00,1,-1.332353017
Briscoe,Gucker,Floor 01,07:30:00,4,-0.120341563
Briscoe,Gucker,Floor 01,08:00:00,7,1.091669891
Briscoe,Gucker,Floor 01,08:30:00,4,-0.120341563
Briscoe,Gucker,Floor 01,09:00:00,5,0.283662255
Briscoe,Gucker,Floor 01,09:30:00,4,-0.120341563
Briscoe,Gucker,Floor 01,10:00:00,1,-1.332353017
Briscoe,Gucker,Floor 01,10:30:00,2,-0.928349199
Briscoe,Gucker,Floor 01,11:00:00,2,-0.928349199
Briscoe,Gucker,Floor 01,11:30:00,5,0.283662255
Briscoe,Gucker,Floor 01,12:00:00,9,1.899677527
Briscoe,Gucker,Floor 01,12:30:00,6,0.687666073
Briscoe,Gucker,Floor 01,13:00:00,4,-0.120341563
Briscoe,Gucker,Floor 01,13:30:00,4,-0.120341563
Briscoe,Gucker,Floor 01,14:00:00,4,-0.120341563
Briscoe,Gucker,Floor 01,14:30:00,4,-0.120341563
Briscoe,Gucker,Floor 01,15:00:00,2,-0.928349199
Briscoe,Gucker,Floor 01,15:30:00,2,-0.928349199
Briscoe,Gucker,Floor 01,16:00:00,2,-0.928349199
Briscoe,Gucker,Floor 01,16:30:00,8,1.495673709
Briscoe,Gucker,Floor 01,17:00:00,9,1.899677527
Briscoe,Gucker,Floor 01,17:30:00,6,0.687666073
Briscoe,Gucker,Floor 01,18:00:00,8,1.495673709
Briscoe,Gucker,Floor 01,18:30:00,6,0.687666073
Briscoe,Gucker,Floor 01,19:00:00,6,0.687666073
Briscoe,Gucker,Floor 01,19:30:00,5,0.283662255
Briscoe,Gucker,Floor 01,20:00:00,3,-0.524345381
Briscoe,Gucker,Floor 01,20:30:00,6,0.687666073
Briscoe,Gucker,Floor 01,21:00:00,6,0.687666073
Briscoe,Gucker,Floor 01,21:30:00,8,1.495673709
Briscoe,Gucker,Floor 01,22:00:00,9,1.899677527
Briscoe,Gucker,Floor 01,22:30:00,7,1.091669891
Briscoe,Gucker,Floor 01,23:00:00,6,0.687666073
Briscoe,Gucker,Floor 01,23:30:00,8,1.495673709
Briscoe,Gucker,Floor 02,00:00:00,32,1.210018468
