center,bldg,floor,time,raw,norm
Briscoe,Shoemaker,Floor 01,00:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,00:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,01:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,01:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,02:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,02:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,03:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,03:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 01,04:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,05:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,05:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,06:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,06:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,07:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,07:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,08:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,08:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,09:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,09:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,10:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,10:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,11:00:00,1,0.119943236
Briscoe,Shoemaker,Floor 01,11:30:00,1,0.119943236
Briscoe,Shoemaker,Floor 01,12:00:00,3,1.529276258
Briscoe,Shoemaker,Floor 01,12:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,13:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,13:30:00,2,0.824609747
Briscoe,Shoemaker,Floor 01,14:00:00,2,0.824609747
Briscoe,Shoemaker,Floor 01,14:30:00,2,0.824609747
Briscoe,Shoemaker,Floor 01,15:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,15:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,16:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,16:30:00,1,0.119943236
Briscoe,Shoemaker,Floor 01,17:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,17:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,18:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,18:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,19:00:00,2,0.824609747
Briscoe,Shoemaker,Floor 01,19:30:00,3,1.529276258
Briscoe,Shoemaker,Floor 01,20:00:00,5,2.938609281
Briscoe,Shoemaker,Floor 01,20:30:00,3,1.529276258
Briscoe,Shoemaker,Floor 01,21:00:00,5,2.938609281
Briscoe,Shoemaker,Floor 01,21:30:00,4,2.23394277
Briscoe,Shoemaker,Floor 01,22:00:00,3,1.529276258
Briscoe,Shoemaker,Floor 01,22:30:00,2,0.824609747
Briscoe,Shoemaker,Floor 01,23:00:00,0,-0.584723275
Briscoe,Shoemaker,Floor 01,23:30:00,0,-0.584723275
Briscoe,Shoemaker,Floor 02,00:00:00,3,-0.670198331
Briscoe,Shoemaker,Floor 02,00:30:00,3,-0.670198331
Briscoe,Shoemaker,Floor 02,01:00:00,2,-0.873419761
Briscoe,Shoemaker,Floor 02,01:30:00,1,-1.07664119
Briscoe,Shoemaker,Floor 02,02:00:00,1,-1.07664119
Briscoe,Shoemaker,Floor 02,02:30:00,1,-1.07664119
Briscoe,Shoemaker,Floor 02,03:00:00,0,-1.279862619
Briscoe,Shoemaker,Floor 02,03:30:00,1,-1.07664119
Briscoe,Shoemaker,Floor 02,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 02,04:30:00,0,-1.279862619
Briscoe,Shoemaker,Floor 02,05:00:00,1,-1.07664119
Briscoe,Shoemaker,Floor 02,05:30:00,1,-1.07664119
Briscoe,Shoemaker,Floor 02,06:00:00,0,-1.279862619
Briscoe,Shoemaker,Floor 02,06:30:00,0,-1.279862619
Briscoe,Shoemaker,Floor 02,07:00:00,0,-1.279862619
Briscoe,Shoemaker,Floor 02,07:30:00,0,-1.279862619
Briscoe,Shoemaker,Floor 02,08:00:00,0,-1.279862619
Briscoe,Shoemaker,Floor 02,08:30:00,1,-1.07664119
Briscoe,Shoemaker,Floor 02,09:00:00,2,-0.873419761
Briscoe,Shoemaker,Floor 02,09:30:00,6,-0.060534043
Briscoe,Shoemaker,Floor 02,10:00:00,4,-0.466976902
Briscoe,Shoemaker,Floor 02,10:30:00,9,0.549130245
